"site","plot","maom_first","pom_first","subsample_weight","POM + MAOM","factor","fraction","fraction_weight_g"
"Allstar Mine 1","offsite 1",6.73,3.73,10.02,10.46,0.95793499043977,"POM",3.57309751434034
"Allstar Mine 1","offsite 1",6.73,3.73,10.02,10.46,0.95793499043977,"MAOM",6.44690248565966
"Allstar Mine 1","offsite 2",6.21,4.16,10.01,10.37,0.965284474445516,"POM",4.01558341369335
"Allstar Mine 1","offsite 2",6.21,4.16,10.01,10.37,0.965284474445516,"MAOM",5.99441658630665
"Allstar Mine 1","offsite 3",5.26,5.52,9.99,10.78,0.926716141001855,"POM",5.11547309833024
"Allstar Mine 1","offsite 3",5.26,5.52,9.99,10.78,0.926716141001855,"MAOM",4.87452690166976
"Allstar Mine 2","offsite 1",7.2,3.17,10,10.37,0.964320154291225,"POM",3.05689488910318
"Allstar Mine 2","offsite 1",7.2,3.17,10,10.37,0.964320154291225,"MAOM",6.94310511089682
"Allstar Mine 2","offsite 2",6.79,3.58,9.99,10.37,0.963355834136933,"POM",3.44881388621022
"Allstar Mine 2","offsite 2",6.79,3.58,9.99,10.37,0.963355834136933,"MAOM",6.54118611378978
"Allstar Mine 2","offsite 3",6.66,2.87,10.02,9.53,1.0514165792235,"POM",3.01756558237146
"Allstar Mine 2","offsite 3",6.66,2.87,10.02,9.53,1.0514165792235,"MAOM",7.00243441762854
"Goshen Road","offsite 1",4.97,5.25,10.01,10.22,0.979452054794521,"POM",5.14212328767123
"Goshen Road","offsite 1",4.97,5.25,10.01,10.22,0.979452054794521,"MAOM",4.86787671232877
"Goshen Road","offsite 2",6.22,4.69,10.01,10.91,0.917506874427131,"POM",4.30310724106324
"Goshen Road","offsite 2",6.22,4.69,10.01,10.91,0.917506874427131,"MAOM",5.70689275893676
"Goshen Road","offsite 3",6.36,4.84,10.02,11.2,0.894642857142857,"POM",4.33007142857143
"Goshen Road","offsite 3",6.36,4.84,10.02,11.2,0.894642857142857,"MAOM",5.68992857142857
"Jackson Mill","offsite 1",8.07,2.26,9.99,10.33,0.967086156824782,"POM",2.18561471442401
"Jackson Mill","offsite 1",8.07,2.26,9.99,10.33,0.967086156824782,"MAOM",7.80438528557599
"Jackson Mill","offsite 3",8.17,2.55,10.02,10.72,0.934701492537313,"POM",2.38348880597015
"Jackson Mill","offsite 3",8.17,2.55,10.02,10.72,0.934701492537313,"MAOM",7.63651119402985
