plot,site,crop,treatment
1,agronomy_farm,W,F
2,agronomy_farm,W,B
3,agronomy_farm,W,C
4,agronomy_farm,S,B
5,agronomy_farm,S,F
6,agronomy_farm,S,C
7,agronomy_farm,W,B
8,agronomy_farm,W,C
9,agronomy_farm,W,F
10,agronomy_farm,S,F
11,agronomy_farm,S,B
12,agronomy_farm,S,C
13,agronomy_farm,S,C
14,agronomy_farm,S,F
15,agronomy_farm,S,B
16,agronomy_farm,W,B
17,agronomy_farm,W,F
18,agronomy_farm,W,C
19,agronomy_farm,S,F
20,agronomy_farm,S,C
21,agronomy_farm,S,B
22,agronomy_farm,W,C
23,agronomy_farm,W,B
24,agronomy_farm,W,F
off-site,agronomy_farm,,
off-site,agronomy_farm,,
off-site,agronomy_farm,,
1,jackson_mill,W,B
2,jackson_mill,W,F
3,jackson_mill,W,C
4,jackson_mill,S,F
5,jackson_mill,S,B
6,jackson_mill,S,C
7,jackson_mill,S,B
8,jackson_mill,S,C
9,jackson_mill,S,F
10,jackson_mill,W,F
11,jackson_mill,W,C
12,jackson_mill,W,B
13,jackson_mill,S,B
14,jackson_mill,S,F
15,jackson_mill,S,C
16,jackson_mill,W,B
17,jackson_mill,W,F
18,jackson_mill,W,C
19,jackson_mill,W,F
20,jackson_mill,W,B
21,jackson_mill,W,C
22,jackson_mill,S,C
23,jackson_mill,S,F
24,jackson_mill,S,B
off-site,jackson_mill,,
off-site,jackson_mill,,
off-site,jackson_mill,,
1,reedsville,S,C
2,reedsville,S,F
3,reedsville,S,B
4,reedsville,W,F
5,reedsville,W,B
6,reedsville,W,C
7,reedsville,S,B
8,reedsville,S,F
9,reedsville,S,C
10,reedsville,W,B
11,reedsville,W,F
12,reedsville,W,C
13,reedsville,W,F
14,reedsville,W,B
15,reedsville,W,C
16,reedsville,S,C
17,reedsville,S,F
18,reedsville,S,B
19,reedsville,W,F
20,reedsville,W,C
21,reedsville,W,B
22,reedsville,S,B
23,reedsville,S,F
24,reedsville,S,C
off-site,reedsville,,
off-site,reedsville,,
off-site,reedsville,,
1,goshen,S,C
2,goshen,S,B
3,goshen,S,F
4,goshen,W,C
5,goshen,W,B
6,goshen,W,F
7,goshen,W,B
8,goshen,W,C
9,goshen,W,F
10,goshen,S,F
11,goshen,S,B
12,goshen,S,C
13,goshen,S,C
14,goshen,S,B
15,goshen,S,F
16,goshen,W,F
17,goshen,W,B
18,goshen,W,C
19,goshen,S,C
20,goshen,S,F
21,goshen,S,B
22,goshen,W,B
23,goshen,W,F
24,goshen,W,C
off-site,goshen,,
off-site,goshen,,
off-site,goshen,,
1,allstar_mine_1,W,F
2,allstar_mine_1,W,C
3,allstar_mine_1,W,B
4,allstar_mine_1,S,C
5,allstar_mine_1,S,B
6,allstar_mine_1,S,F
7,allstar_mine_1,W,B
8,allstar_mine_1,W,C
9,allstar_mine_1,W,F
10,allstar_mine_1,S,F
11,allstar_mine_1,S,C
12,allstar_mine_1,S,B
13,allstar_mine_1,W,B
14,allstar_mine_1,W,F
15,allstar_mine_1,W,C
16,allstar_mine_1,S,F
17,allstar_mine_1,S,B
18,allstar_mine_1,S,C
19,allstar_mine_1,W,B
20,allstar_mine_1,W,C
21,allstar_mine_1,W,F
22,allstar_mine_1,S,C
23,allstar_mine_1,S,B
24,allstar_mine_1,S,F
off-site,allstar_mine_1,,
off-site,allstar_mine_1,,
off-site,allstar_mine_1,,
1,allstar_mine_2,W,F
2,allstar_mine_2,W,B
3,allstar_mine_2,W,C
4,allstar_mine_2,S,B
5,allstar_mine_2,S,F
6,allstar_mine_2,S,C
7,allstar_mine_2,W,C
8,allstar_mine_2,W,B
9,allstar_mine_2,W,F
10,allstar_mine_2,S,B
11,allstar_mine_2,S,F
12,allstar_mine_2,S,C
13,allstar_mine_2,S,C
14,allstar_mine_2,S,F
15,allstar_mine_2,S,B
16,allstar_mine_2,W,B
17,allstar_mine_2,W,C
18,allstar_mine_2,W,F
off-site,allstar_mine_2,,
off-site,allstar_mine_2,,
off-site,allstar_mine_2,,
