"site","plot","poxc"
"agronomy_farm","offsite 1",955.445433333333
"allstar_mine_1","offsite 1",849.8551
"allstar_mine_1","offsite 2",869.0728
"allstar_mine_1","offsite 3",896.295233333333
"allstar_mine_2","offsite 1",804.425033333333
"allstar_mine_2","offsite 2",663.648033333333
"allstar_mine_2","offsite 3",1261.95633333333
"goshen","offsite 1",721.788766666667
"goshen","offsite 2",780.383508333333
"goshen","offsite 3",746.5984
"jackson_mill","offsite 1",701.943389333333
"jackson_mill","offsite 2",646.531384
"jackson_mill","offsite 3",599.30663
"reedsville","offsite 1",1284.30166666667
"reedsville","offsite 2",1099.26833333333
"reedsville","offsite 3",786.2555
